# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	482
#@/user_id	6d88d04c-81af-4f7f-b919-dba7c1a0b662
xiao 	小	c=4 d=2.16668 t=482
xiao 	銷	c=1 d=0.782591 t=482
xiao dian 	小點	c=2 d=1.8233 t=482
xiao he 	小鶴	c=5 d=3.61807 t=482
xiao he shuang pin 	小鶴雙拼	c=1 d=0.759572 t=482
xiao ku 	笑哭	c=12 d=8.29982 t=482
xiao lian 	笑臉	c=8 d=6.95824 t=482
xiao qu 	小區	c=2 d=1.7872 t=482
xiao shou 	銷售	c=4 d=2.84001 t=482
xiao xue 	小學	c=1 d=0.70822 t=482
xie 	寫	c=10 d=7.76725 t=482
xin zeng 	新增	c=8 d=5.47886 t=482
xiu gai 	修改	c=4 d=2.52521 t=482
xu yao 	需要	c=2 d=1.41291 t=482
ya 	呀	c=4 d=2.89329 t=482
yao 	要	c=4 d=1.70013 t=482
ye 	也	c=5 d=2.68264 t=482
ye 	頁	c=3 d=1.70698 t=482
ye mian 	頁面	c=2 d=0.951847 t=482
yi 	一	c=2 d=1.58522 t=482
yi ci 	一次	c=1 d=0.927188 t=482
yi cun 	一寸	c=2 d=1.99501 t=462
yi die 	一跌	c=1 d=0.782705 t=482
yi fen 	一份	c=1 d=0.882497 t=482
yi ge 	一個	c=1 d=0.794534 t=482
yi ge ren 	一個人	c=2 d=1.60906 t=482
yi ge yue 	一個月	c=2 d=1.66637 t=482
yi hui 	一會	c=3 d=1.81961 t=482
yi jia 	衣架	c=1 d=0.83527 t=482
yi xia 	一下	c=1 d=0.748264 t=482
yi zhang 	一漲	c=1 d=0.802519 t=482
yi zhao 	衣罩	c=1 d=0.839457 t=482
yong 	用	c=3 d=1.70081 t=482
yong le 	永樂	c=1 d=0.752014 t=482
you 	又	c=2 d=1.01071 t=482
you 	由	c=2 d=1.01577 t=482
yu dao 	遇到	c=1 d=0.554327 t=482
yu ju 	語句	c=1 d=0.869233 t=482
yu ju liu 	語句流	c=1 d=0.790571 t=482
yu shou 	預售	c=1 d=0.704586 t=482
yu shou shang pin 	預售商品	c=1 d=0.640824 t=482
yuan lai 	原來	c=2 d=0.795049 t=482
za 	咋	c=1 d=0.860708 t=482
za hai 	咋還	c=1 d=0.860708 t=482
zai 	再	c=3 d=2.76993 t=482
zai 	在	c=6 d=3.53708 t=482
zai yu 	在於	c=2 d=1.72573 t=482
zan 	咱	c=1 d=0.479505 t=482
ze 	則	c=2 d=1.05333 t=482
zen me 	怎麼	c=1 d=0.895834 t=482
zhan 	站	c=2 d=1.33397 t=482
zhan hui 	站會	c=1 d=0.677057 t=482
zhang 	漲	c=2 d=1.62938 t=482
zhao wo 	找我	c=2 d=1.99501 t=482
zhe 	這	c=1 d=0.927743 t=482
zhe duan 	這段	c=1 d=0.733447 t=482
zhe ge 	這個	c=10 d=4.35533 t=482
zhe xie 	這些	c=2 d=0.971076 t=482
zhe yang 	這樣	c=1 d=0.697676 t=482
zheng chang 	正常	c=1 d=0.499074 t=482
zheng shi 	正式	c=2 d=1.89771 t=482
zheng ti 	整體	c=1 d=0.571209 t=482
zhi fa 	執法	c=1 d=0.951229 t=482
zhi fa 	直髮	c=2 d=1.90722 t=482
zhi jie 	直接	c=2 d=1.14484 t=482
zhi lei 	之類	c=2 d=1.45594 t=482
zhi qian 	之前	c=4 d=3.78625 t=482
zhi shao 	至少	c=2 d=1.84163 t=482
zhong 	中	c=6 d=3.86441 t=482
zhong can 	中餐	c=1 d=0.771052 t=482
zhong xin 	中心	c=2 d=1.37115 t=482
zhu 	祝	c=1 d=1 t=461
zhu 	著	c=1 d=1 t=460
zhu ji tian 	住幾天	c=2 d=1.70004 t=482
zi ding yi 	自定義	c=3 d=2.02822 t=482
zi dong 	自動	c=1 d=0.438235 t=482
zi duan 	字段	c=6 d=3.43782 t=482
zong 	總	c=2 d=1.95551 t=482
zou 	走	c=1 d=1 t=482
zui da 	最大	c=2 d=1.44145 t=482
zui hou 	最後	c=2 d=1.23448 t=482
zuo tian 	昨天	c=2 d=0.825594 t=482
